State,Mass gathering restrictions,Initial business closure,Educational facilities closed,Non-essential services closed,Stay at home order,Travel severely limited,STATE_FIPS
AL,3/19/20,3/19/20,3/19/20,3/28/20,4/4/20,,1
AK,3/24/20,3/17/20,3/16/20,3/28/20,3/28/20,,2
AZ,3/30/20,,3/16/20,,3/30/20,,4
AR,3/27/20,3/19/20,3/17/20,,,,5
CA,3/11/20,3/19/20,3/19/20,3/19/20,3/19/20,,6
CO,3/19/20,3/17/20,3/23/20,3/26/20,3/26/20,,8
CT,3/12/20,3/16/20,3/17/20,3/23/20,,,9
DE,3/16/20,3/16/20,3/16/20,3/24/20,3/24/20,,10
DC,3/13/20,3/16/20,3/16/20,3/25/20,3/30/20,,11
FL,4/3/20,3/17/20,3/17/20,,,,12
GA,3/24/20,3/24/20,3/18/20,,,,13
HI,3/17/20,3/17/20,3/19/20,3/25/20,3/25/20,,15
ID,3/25/20,3/25/20,3/23/20,3/25/20,3/25/20,,16
IL,3/13/20,3/16/20,3/17/20,3/21/20,3/21/20,,17
IN,3/12/20,3/16/20,3/19/20,3/24/20,3/25/20,,18
IA,3/17/20,3/17/20,,3/17/20,,,19
KS,3/17/20,,3/17/20,,3/30/20,,20
KY,3/19/20,3/16/20,3/20/20,3/26/20,,,21
LA,3/13/20,3/17/20,3/16/20,3/22/20,3/23/20,,22
ME,3/18/20,3/18/20,3/16/20,3/25/20,,,23
MD,3/16/20,3/16/20,3/16/20,3/23/20,3/30/20,,24
MA,3/13/20,3/17/20,3/17/20,3/24/20,,,25
MI,3/13/20,3/16/20,3/16/20,3/23/20,3/24/20,,26
MN,3/28/20,3/17/20,3/18/20,,3/28/20,,27
MS,3/24/20,3/24/20,3/19/20,,,,28
MO,3/23/20,3/23/20,3/23/20,,,,29
MT,3/24/20,3/20/20,3/15/20,3/26/20,3/26/20,,30
NE,3/16/20,3/19/20,,,,,31
NV,3/24/20,3/18/20,3/16/20,3/21/20,3/31/20,,32
NH,3/16/20,3/16/20,3/16/20,3/28/20,3/27/20,,33
NJ,3/16/20,3/16/20,3/18/20,3/21/20,3/21/20,,34
NM,3/12/20,3/16/20,3/13/20,3/24/20,,,35
NY,3/12/20,3/16/20,3/18/20,3/22/20,3/22/20,,36
NC,3/14/20,3/17/20,3/14/20,3/30/20,3/30/20,,37
ND,,3/20/20,3/16/20,,,,38
OH,3/12/20,3/15/20,3/16/20,3/23/20,3/23/20,,39
OK,3/24/20,4/1/20,3/17/20,,,,40
OR,3/12/20,3/17/20,3/16/20,3/23/20,,,41
PA,4/1/20,3/18/20,3/17/20,3/23/20,,,42
RI,3/17/20,3/17/20,3/16/20,,3/28/20,,44
SC,3/18/20,3/18/20,3/16/20,,,,45
SD,,,3/16/20,,,,46
TN,3/23/20,3/23/20,3/20/20,,,,47
TX,3/21/20,3/21/20,3/19/20,,,,48
UT,3/19/20,3/19/20,3/16/20,,,,49
VT,3/13/20,3/17/20,3/18/20,3/25/20,3/24/20,,50
VA,3/15/20,3/17/20,3/16/20,3/24/20,3/30/20,,51
WA,3/11/20,3/16/20,3/13/20,3/25/20,3/23/20,,53
WV,3/24/20,3/18/20,3/14/20,3/24/20,3/25/20,,54
WI,3/17/20,3/17/20,3/18/20,3/25/20,3/25/20,,55
WY,3/20/20,3/19/20,3/19/20,,,,56
